fecha_vacuna;zona;provincia;sexo;gedad;nom_vacuna;primera;segunda
25/1/2021;ZONA 4;MANABI;Hombre;De 60 a 69 años;BNT162b2 PFIZER;1;0
25/1/2021;ZONA 4;MANABI;Hombre;De 60 a 69 años;BNT162b2 PFIZER;1;0
25/1/2021;ZONA 4;MANABI;Hombre;De 60 a 69 años;BNT162b2 PFIZER;1;0
25/1/2021;ZONA 4;MANABI;Hombre;De 70 a 79 años;BNT162b2 PFIZER;1;0
25/1/2021;ZONA 4;MANABI;Hombre;De 60 a 69 años;BNT162b2 PFIZER;1;0
25/1/2021;ZONA 4;MANABI;Hombre;De 70 a 79 años;BNT162b2 PFIZER;1;0
25/1/2021;ZONA 4;MANABI;Hombre;De 80 años y más;BNT162b2 PFIZER;4;0
25/1/2021;ZONA 4;MANABI;Mujer;De 60 a 69 años;BNT162b2 PFIZER;1;0
25/1/2021;ZONA 4;MANABI;Mujer;De 80 años y más;BNT162b2 PFIZER;5;0
25/1/2021;ZONA 4;MANABI;Hombre;De 60 a 69 años;BNT162b2 PFIZER;3;0
25/1/2021;ZONA 4;MANABI;Hombre;De 70 a 79 años;BNT162b2 PFIZER;2;0
25/1/2021;ZONA 4;MANABI;Mujer;De 80 años y más;BNT162b2 PFIZER;1;0
18/2/2021;ZONA 4;MANABI;Hombre;De 60 a 69 años;BNT162b2 PFIZER;11;1
18/2/2021;ZONA 4;MANABI;Mujer;De 60 a 69 años;BNT162b2 PFIZER;12;0
18/2/2021;ZONA 4;MANABI;Hombre;De 60 a 69 años;BNT162b2 PFIZER;0;1
18/2/2021;ZONA 4;MANABI;Hombre;De 60 a 69 años;BNT162b2 PFIZER;4;0
18/2/2021;ZONA 4;MANABI;Hombre;De 70 a 79 años;BNT162b2 PFIZER;1;0
18/2/2021;ZONA 4;MANABI;Mujer;De 60 a 69 años;BNT162b2 PFIZER;4;0
18/2/2021;ZONA 4;MANABI;Hombre;De 60 a 69 años;BNT162b2 PFIZER;5;1
18/2/2021;ZONA 4;MANABI;Mujer;De 60 a 69 años;BNT162b2 PFIZER;4;0
18/2/2021;ZONA 4;MANABI;Hombre;De 70 a 79 años;BNT162b2 PFIZER;0;1
18/2/2021;ZONA 4;MANABI;Hombre;De 60 a 69 años;BNT162b2 PFIZER;8;1
18/2/2021;ZONA 4;MANABI;Hombre;De 70 a 79 años;BNT162b2 PFIZER;0;1
18/2/2021;ZONA 4;MANABI;Hombre;De 80 años y más;BNT162b2 PFIZER;0;4
18/2/2021;ZONA 4;MANABI;Mujer;De 60 a 69 años;BNT162b2 PFIZER;4;1
18/2/2021;ZONA 4;MANABI;Mujer;De 80 años y más;BNT162b2 PFIZER;0;5
18/2/2021;ZONA 4;MANABI;Hombre;De 60 a 69 años;BNT162b2 PFIZER;1;0
18/2/2021;ZONA 4;MANABI;Hombre;De 60 a 69 años;BNT162b2 PFIZER;1;0
18/2/2021;ZONA 4;MANABI;Mujer;De 60 a 69 años;BNT162b2 PFIZER;2;0
18/2/2021;ZONA 4;MANABI;Hombre;De 60 a 69 años;BNT162b2 PFIZER;5;2
18/2/2021;ZONA 4;MANABI;Hombre;De 70 a 79 años;BNT162b2 PFIZER;0;1
18/2/2021;ZONA 4;MANABI;Mujer;De 60 a 69 años;BNT162b2 PFIZER;6;0
18/2/2021;ZONA 4;MANABI;Mujer;De 70 a 79 años;BNT162b2 PFIZER;1;0
18/2/2021;ZONA 4;MANABI;Mujer;De 80 años y más;BNT162b2 PFIZER;0;1
26/2/2021;ZONA 4;MANABI;Hombre;De 60 a 69 años;BNT162b2 PFIZER;1;0
26/2/2021;ZONA 4;MANABI;Hombre;De 70 a 79 años;BNT162b2 PFIZER;7;0
26/2/2021;ZONA 4;MANABI;Hombre;De 80 años y más;BNT162b2 PFIZER;4;0
26/2/2021;ZONA 4;MANABI;Mujer;De 60 a 69 años;BNT162b2 PFIZER;1;0
26/2/2021;ZONA 4;MANABI;Mujer;De 70 a 79 años;BNT162b2 PFIZER;5;0
26/2/2021;ZONA 4;MANABI;Mujer;De 80 años y más;BNT162b2 PFIZER;2;0
26/2/2021;ZONA 4;MANABI;Mujer;De 60 a 69 años;BNT162b2 PFIZER;1;0
26/2/2021;ZONA 4;MANABI;Mujer;De 80 años y más;BNT162b2 PFIZER;2;0
26/2/2021;ZONA 4;MANABI;Hombre;De 60 a 69 años;BNT162b2 PFIZER;5;0
26/2/2021;ZONA 4;MANABI;Hombre;De 70 a 79 años;BNT162b2 PFIZER;8;0
26/2/2021;ZONA 4;MANABI;Hombre;De 80 años y más;BNT162b2 PFIZER;4;0
26/2/2021;ZONA 4;MANABI;Mujer;De 60 a 69 años;BNT162b2 PFIZER;6;0
26/2/2021;ZONA 4;MANABI;Mujer;De 70 a 79 años;BNT162b2 PFIZER;5;0
26/2/2021;ZONA 4;MANABI;Mujer;De 80 años y más;BNT162b2 PFIZER;27;0
26/2/2021;ZONA 4;MANABI;Mujer;De 80 años y más;BNT162b2 PFIZER;1;0
26/2/2021;ZONA 4;MANABI;Hombre;De 80 años y más;BNT162b2 PFIZER;1;0
26/2/2021;ZONA 4;MANABI;Mujer;De 80 años y más;BNT162b2 PFIZER;1;0
26/2/2021;ZONA 4;MANABI;Hombre;De 60 a 69 años;BNT162b2 PFIZER;11;0
26/2/2021;ZONA 4;MANABI;Hombre;De 80 años y más;BNT162b2 PFIZER;1;0
26/2/2021;ZONA 4;MANABI;Mujer;De 60 a 69 años;BNT162b2 PFIZER;5;0
26/2/2021;ZONA 4;MANABI;Mujer;De 70 a 79 años;BNT162b2 PFIZER;1;0
26/2/2021;ZONA 4;MANABI;Mujer;De 80 años y más;BNT162b2 PFIZER;5;0
26/2/2021;ZONA 4;MANABI;Hombre;De 60 a 69 años;BNT162b2 PFIZER;4;0
26/2/2021;ZONA 4;MANABI;Hombre;De 70 a 79 años;BNT162b2 PFIZER;2;0
26/2/2021;ZONA 4;MANABI;Hombre;De 80 años y más;BNT162b2 PFIZER;1;0
26/2/2021;ZONA 4;MANABI;Mujer;De 60 a 69 años;BNT162b2 PFIZER;5;0
26/2/2021;ZONA 4;MANABI;Mujer;De 70 a 79 años;BNT162b2 PFIZER;3;0
26/2/2021;ZONA 4;MANABI;Mujer;De 80 años y más;BNT162b2 PFIZER;2;0
26/2/2021;ZONA 4;MANABI;Hombre;De 60 a 69 años;BNT162b2 PFIZER;1;0
1/3/2021;ZONA 4;MANABI;Hombre;De 60 a 69 años;BNT162b2 PFIZER;3;0
1/3/2021;ZONA 4;MANABI;Mujer;De 60 a 69 años;BNT162b2 PFIZER;3;0
4/3/2021;ZONA 4;MANABI;Hombre;De 60 a 69 años;BNT162b2 PFIZER;0;9
4/3/2021;ZONA 4;MANABI;Hombre;De 70 a 79 años;BNT162b2 PFIZER;0;16
4/3/2021;ZONA 4;MANABI;Hombre;De 70 a 79 años;CoronaVac SINOVAC;1;0
4/3/2021;ZONA 4;MANABI;Hombre;De 80 años y más;BNT162b2 PFIZER;0;13
4/3/2021;ZONA 4;MANABI;Mujer;De 60 a 69 años;BNT162b2 PFIZER;0;7
4/3/2021;ZONA 4;MANABI;Mujer;De 60 a 69 años;CoronaVac SINOVAC;1;0
